filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4065930_OQMD-EnID-4779.poscar,-1.2128,Immm
ID-4482357_OQMD-EnID-307142.poscar,-0.5672,Pm-3m
ID-4516722_OQMD-EnID-338684.poscar,-0.3952,P4/mmm
ID-5494104_OQMD-EnID-1106327.poscar,-0.6894,Fm-3m
ID-5570439_OQMD-EnID-1222134.poscar,-0.5802,F-43m
ID-5574466_OQMD-EnID-1229105.poscar,-0.6112,P-6m2
ID-5577725_OQMD-EnID-1234923.poscar,-0.6891,R-3m
ID-4065834_OQMD-EnID-6963.poscar,-1.0706,I4/mmm
ID-5597233_OQMD-EnID-1238716.poscar,0.5299,Fd-3m
ID-5768875_OQMD-EnID-1415836.poscar,0.5429,Fm-3m
ID-5947027_OQMD-EnID-1589767.poscar,0.3727,Fd-3m
ID-4112211_OQMD-EnID-299190.poscar,0.9136,I4/mmm
ID-4130550_OQMD-EnID-309732.poscar,0.9599,Fm-3m
ID-4159197_OQMD-EnID-323977.poscar,0.0422,P63/mmc
ID-4173705_OQMD-EnID-348463.poscar,1.0436,Pm-3m
ID-4784067_OQMD-EnID-6357.poscar,-0.8788,P21/c
ID-4065510_OQMD-EnID-5411.poscar,-1.1102,R-3m
ID-5577038_OQMD-EnID-1232591.poscar,-1.0451,P42/mnm
ID-5597237_OQMD-EnID-1238717.poscar,-0.8738,Fd-3m
ID-5731235_OQMD-EnID-1343483.poscar,-1.0446,Pnma
ID-5731320_OQMD-EnID-1343211.poscar,-1.0152,Fm-3m
ID-5731333_OQMD-EnID-1344063.poscar,-0.8642,Pn-3m
ID-5731532_OQMD-EnID-1343720.poscar,-1.1119,R3
ID-5731667_OQMD-EnID-1343946.poscar,-1.0194,Fm-3m
ID-5731949_OQMD-EnID-1343811.poscar,-1.0961,C2
ID-5768895_OQMD-EnID-1415835.poscar,-1.0172,Fm-3m
ID-5813263_OQMD-EnID-1440201.poscar,-0.8817,P63/mmc
ID-5813534_OQMD-EnID-1443216.poscar,-0.863,Cmcm
ID-5813954_OQMD-EnID-1443222.poscar,-1.0963,Fdd2
ID-5837860_OQMD-EnID-1472540.poscar,-1.0446,P21
ID-5847829_OQMD-EnID-1474057.poscar,-1.0151,P21
ID-5849174_OQMD-EnID-1473445.poscar,-1.0092,P21/c
ID-5895370_OQMD-EnID-1520423.poscar,-1.1072,C2/m
ID-5911575_OQMD-EnID-1440135.poscar,-1.1069,P-3m1
ID-5958965_OQMD-EnID-1592966.poscar,0.2804,Fd-3m
ID-4337145_OQMD-EnID-351053.poscar,-0.2408,Pm-3m
ID-4812771_OQMD-EnID-426669.poscar,0.0218,R-3c
ID-4121268_OQMD-EnID-302893.poscar,-0.146,I4/mmm
ID-4141308_OQMD-EnID-313435.poscar,-0.0453,Fm-3m
ID-4149924_OQMD-EnID-320274.poscar,-0.738,P63/mmc
ID-4166991_OQMD-EnID-344760.poscar,-0.2089,Pm-3m
ID-4883190_OQMD-EnID-356382.poscar,-0.4215,P4/mmm
ID-4853955_OQMD-EnID-1632.poscar,-0.4469,P-6m2
ID-4065930_OQMD-EnID-4779.poscar,-1.2128,Immm
ID-4482357_OQMD-EnID-307142.poscar,-0.5672,Pm-3m
ID-4516722_OQMD-EnID-338684.poscar,-0.3952,P4/mmm
ID-5494104_OQMD-EnID-1106327.poscar,-0.6894,Fm-3m
ID-5570439_OQMD-EnID-1222134.poscar,-0.5802,F-43m
ID-5574466_OQMD-EnID-1229105.poscar,-0.6112,P-6m2
ID-5577725_OQMD-EnID-1234923.poscar,-0.6891,R-3m
ID-4065834_OQMD-EnID-6963.poscar,-1.0706,I4/mmm
ID-5597233_OQMD-EnID-1238716.poscar,0.5299,Fd-3m
ID-5768875_OQMD-EnID-1415836.poscar,0.5429,Fm-3m
ID-5947027_OQMD-EnID-1589767.poscar,0.3727,Fd-3m
ID-4112211_OQMD-EnID-299190.poscar,0.9136,I4/mmm
ID-4130550_OQMD-EnID-309732.poscar,0.9599,Fm-3m
ID-4159197_OQMD-EnID-323977.poscar,0.0422,P63/mmc
ID-4173705_OQMD-EnID-348463.poscar,1.0436,Pm-3m
ID-4784067_OQMD-EnID-6357.poscar,-0.8788,P21/c
ID-4065510_OQMD-EnID-5411.poscar,-1.1102,R-3m
ID-5577038_OQMD-EnID-1232591.poscar,-1.0451,P42/mnm
ID-5597237_OQMD-EnID-1238717.poscar,-0.8738,Fd-3m
ID-5731235_OQMD-EnID-1343483.poscar,-1.0446,Pnma
ID-5731320_OQMD-EnID-1343211.poscar,-1.0152,Fm-3m
ID-5731333_OQMD-EnID-1344063.poscar,-0.8642,Pn-3m
ID-5731532_OQMD-EnID-1343720.poscar,-1.1119,R3
ID-5731667_OQMD-EnID-1343946.poscar,-1.0194,Fm-3m
ID-5731949_OQMD-EnID-1343811.poscar,-1.0961,C2
ID-5768895_OQMD-EnID-1415835.poscar,-1.0172,Fm-3m
ID-5813263_OQMD-EnID-1440201.poscar,-0.8817,P63/mmc
ID-5813534_OQMD-EnID-1443216.poscar,-0.863,Cmcm
ID-5813954_OQMD-EnID-1443222.poscar,-1.0963,Fdd2
ID-5837860_OQMD-EnID-1472540.poscar,-1.0446,P21
ID-5847829_OQMD-EnID-1474057.poscar,-1.0151,P21
ID-5849174_OQMD-EnID-1473445.poscar,-1.0092,P21/c
ID-5895370_OQMD-EnID-1520423.poscar,-1.1072,C2/m
ID-5911575_OQMD-EnID-1440135.poscar,-1.1069,P-3m1
ID-5958965_OQMD-EnID-1592966.poscar,0.2804,Fd-3m
ID-4337145_OQMD-EnID-351053.poscar,-0.2408,Pm-3m
ID-4812771_OQMD-EnID-426669.poscar,0.0218,R-3c
ID-4121268_OQMD-EnID-302893.poscar,-0.146,I4/mmm
ID-4141308_OQMD-EnID-313435.poscar,-0.0453,Fm-3m
ID-4149924_OQMD-EnID-320274.poscar,-0.738,P63/mmc
ID-4166991_OQMD-EnID-344760.poscar,-0.2089,Pm-3m
ID-4883190_OQMD-EnID-356382.poscar,-0.4215,P4/mmm
ID-4853955_OQMD-EnID-1632.poscar,-0.4469,P-6m2
ID-4065930_OQMD-EnID-4779.poscar,-1.2128,Immm
ID-4482357_OQMD-EnID-307142.poscar,-0.5672,Pm-3m
ID-4516722_OQMD-EnID-338684.poscar,-0.3952,P4/mmm
ID-5494104_OQMD-EnID-1106327.poscar,-0.6894,Fm-3m
ID-5570439_OQMD-EnID-1222134.poscar,-0.5802,F-43m
ID-5574466_OQMD-EnID-1229105.poscar,-0.6112,P-6m2
ID-5577725_OQMD-EnID-1234923.poscar,-0.6891,R-3m
ID-4065834_OQMD-EnID-6963.poscar,-1.0706,I4/mmm
ID-5597233_OQMD-EnID-1238716.poscar,0.5299,Fd-3m
ID-5768875_OQMD-EnID-1415836.poscar,0.5429,Fm-3m
ID-5947027_OQMD-EnID-1589767.poscar,0.3727,Fd-3m
ID-4112211_OQMD-EnID-299190.poscar,0.9136,I4/mmm
ID-4130550_OQMD-EnID-309732.poscar,0.9599,Fm-3m
ID-4159197_OQMD-EnID-323977.poscar,0.0422,P63/mmc
ID-4173705_OQMD-EnID-348463.poscar,1.0436,Pm-3m
ID-4784067_OQMD-EnID-6357.poscar,-0.8788,P21/c
ID-4065510_OQMD-EnID-5411.poscar,-1.1102,R-3m
ID-5577038_OQMD-EnID-1232591.poscar,-1.0451,P42/mnm
ID-5597237_OQMD-EnID-1238717.poscar,-0.8738,Fd-3m
ID-5731235_OQMD-EnID-1343483.poscar,-1.0446,Pnma
ID-5731320_OQMD-EnID-1343211.poscar,-1.0152,Fm-3m
ID-5731333_OQMD-EnID-1344063.poscar,-0.8642,Pn-3m
ID-5731532_OQMD-EnID-1343720.poscar,-1.1119,R3
ID-5731667_OQMD-EnID-1343946.poscar,-1.0194,Fm-3m
ID-5731949_OQMD-EnID-1343811.poscar,-1.0961,C2
ID-5768895_OQMD-EnID-1415835.poscar,-1.0172,Fm-3m
ID-5813263_OQMD-EnID-1440201.poscar,-0.8817,P63/mmc
ID-5813534_OQMD-EnID-1443216.poscar,-0.863,Cmcm
ID-5813954_OQMD-EnID-1443222.poscar,-1.0963,Fdd2
ID-5837860_OQMD-EnID-1472540.poscar,-1.0446,P21
ID-5847829_OQMD-EnID-1474057.poscar,-1.0151,P21
ID-5849174_OQMD-EnID-1473445.poscar,-1.0092,P21/c
ID-5895370_OQMD-EnID-1520423.poscar,-1.1072,C2/m
ID-5911575_OQMD-EnID-1440135.poscar,-1.1069,P-3m1
ID-5958965_OQMD-EnID-1592966.poscar,0.2804,Fd-3m
ID-4337145_OQMD-EnID-351053.poscar,-0.2408,Pm-3m
ID-4812771_OQMD-EnID-426669.poscar,0.0218,R-3c
ID-4121268_OQMD-EnID-302893.poscar,-0.146,I4/mmm
ID-4141308_OQMD-EnID-313435.poscar,-0.0453,Fm-3m
ID-4149924_OQMD-EnID-320274.poscar,-0.738,P63/mmc
ID-4166991_OQMD-EnID-344760.poscar,-0.2089,Pm-3m
ID-4883190_OQMD-EnID-356382.poscar,-0.4215,P4/mmm
ID-4853955_OQMD-EnID-1632.poscar,-0.4469,P-6m2
ID-4065930_OQMD-EnID-4779.poscar,-1.2128,Immm
ID-4482357_OQMD-EnID-307142.poscar,-0.5672,Pm-3m
ID-4516722_OQMD-EnID-338684.poscar,-0.3952,P4/mmm
ID-5494104_OQMD-EnID-1106327.poscar,-0.6894,Fm-3m
ID-5570439_OQMD-EnID-1222134.poscar,-0.5802,F-43m
ID-5574466_OQMD-EnID-1229105.poscar,-0.6112,P-6m2
ID-5577725_OQMD-EnID-1234923.poscar,-0.6891,R-3m
ID-4065834_OQMD-EnID-6963.poscar,-1.0706,I4/mmm
ID-5597233_OQMD-EnID-1238716.poscar,0.5299,Fd-3m
ID-5768875_OQMD-EnID-1415836.poscar,0.5429,Fm-3m
ID-5947027_OQMD-EnID-1589767.poscar,0.3727,Fd-3m
ID-4112211_OQMD-EnID-299190.poscar,0.9136,I4/mmm
ID-4130550_OQMD-EnID-309732.poscar,0.9599,Fm-3m
ID-4159197_OQMD-EnID-323977.poscar,0.0422,P63/mmc
ID-4173705_OQMD-EnID-348463.poscar,1.0436,Pm-3m
ID-4784067_OQMD-EnID-6357.poscar,-0.8788,P21/c
ID-4065510_OQMD-EnID-5411.poscar,-1.1102,R-3m
ID-5577038_OQMD-EnID-1232591.poscar,-1.0451,P42/mnm
ID-5597237_OQMD-EnID-1238717.poscar,-0.8738,Fd-3m
ID-5731235_OQMD-EnID-1343483.poscar,-1.0446,Pnma
ID-5731320_OQMD-EnID-1343211.poscar,-1.0152,Fm-3m
ID-5731333_OQMD-EnID-1344063.poscar,-0.8642,Pn-3m
ID-5731532_OQMD-EnID-1343720.poscar,-1.1119,R3
ID-5731667_OQMD-EnID-1343946.poscar,-1.0194,Fm-3m
ID-5731949_OQMD-EnID-1343811.poscar,-1.0961,C2
ID-5768895_OQMD-EnID-1415835.poscar,-1.0172,Fm-3m
ID-5813263_OQMD-EnID-1440201.poscar,-0.8817,P63/mmc
ID-5813534_OQMD-EnID-1443216.poscar,-0.863,Cmcm
ID-5813954_OQMD-EnID-1443222.poscar,-1.0963,Fdd2
ID-5837860_OQMD-EnID-1472540.poscar,-1.0446,P21
ID-5847829_OQMD-EnID-1474057.poscar,-1.0151,P21
ID-5849174_OQMD-EnID-1473445.poscar,-1.0092,P21/c
ID-5895370_OQMD-EnID-1520423.poscar,-1.1072,C2/m
ID-5911575_OQMD-EnID-1440135.poscar,-1.1069,P-3m1
ID-5958965_OQMD-EnID-1592966.poscar,0.2804,Fd-3m
ID-4337145_OQMD-EnID-351053.poscar,-0.2408,Pm-3m
ID-4812771_OQMD-EnID-426669.poscar,0.0218,R-3c
ID-4121268_OQMD-EnID-302893.poscar,-0.146,I4/mmm
ID-4141308_OQMD-EnID-313435.poscar,-0.0453,Fm-3m
ID-4149924_OQMD-EnID-320274.poscar,-0.738,P63/mmc
ID-4166991_OQMD-EnID-344760.poscar,-0.2089,Pm-3m
ID-4883190_OQMD-EnID-356382.poscar,-0.4215,P4/mmm
ID-4853955_OQMD-EnID-1632.poscar,-0.4469,P-6m2
ID-4065930_OQMD-EnID-4779.poscar,-1.2128,Immm
ID-4482357_OQMD-EnID-307142.poscar,-0.5672,Pm-3m
ID-4516722_OQMD-EnID-338684.poscar,-0.3952,P4/mmm
ID-5494104_OQMD-EnID-1106327.poscar,-0.6894,Fm-3m
ID-5570439_OQMD-EnID-1222134.poscar,-0.5802,F-43m
ID-5574466_OQMD-EnID-1229105.poscar,-0.6112,P-6m2
ID-5577725_OQMD-EnID-1234923.poscar,-0.6891,R-3m
ID-4065834_OQMD-EnID-6963.poscar,-1.0706,I4/mmm
ID-5597233_OQMD-EnID-1238716.poscar,0.5299,Fd-3m
ID-5768875_OQMD-EnID-1415836.poscar,0.5429,Fm-3m
ID-5947027_OQMD-EnID-1589767.poscar,0.3727,Fd-3m
ID-4112211_OQMD-EnID-299190.poscar,0.9136,I4/mmm
ID-4130550_OQMD-EnID-309732.poscar,0.9599,Fm-3m
ID-4159197_OQMD-EnID-323977.poscar,0.0422,P63/mmc
ID-4173705_OQMD-EnID-348463.poscar,1.0436,Pm-3m
ID-4784067_OQMD-EnID-6357.poscar,-0.8788,P21/c
ID-4065510_OQMD-EnID-5411.poscar,-1.1102,R-3m
ID-5577038_OQMD-EnID-1232591.poscar,-1.0451,P42/mnm
ID-5597237_OQMD-EnID-1238717.poscar,-0.8738,Fd-3m
ID-5731235_OQMD-EnID-1343483.poscar,-1.0446,Pnma
ID-5731320_OQMD-EnID-1343211.poscar,-1.0152,Fm-3m
ID-5731333_OQMD-EnID-1344063.poscar,-0.8642,Pn-3m
ID-5731532_OQMD-EnID-1343720.poscar,-1.1119,R3
ID-5731667_OQMD-EnID-1343946.poscar,-1.0194,Fm-3m
ID-5731949_OQMD-EnID-1343811.poscar,-1.0961,C2
ID-5768895_OQMD-EnID-1415835.poscar,-1.0172,Fm-3m
ID-5813263_OQMD-EnID-1440201.poscar,-0.8817,P63/mmc
ID-5813534_OQMD-EnID-1443216.poscar,-0.863,Cmcm
ID-5813954_OQMD-EnID-1443222.poscar,-1.0963,Fdd2
ID-5837860_OQMD-EnID-1472540.poscar,-1.0446,P21
ID-5847829_OQMD-EnID-1474057.poscar,-1.0151,P21
ID-5849174_OQMD-EnID-1473445.poscar,-1.0092,P21/c
ID-5895370_OQMD-EnID-1520423.poscar,-1.1072,C2/m
ID-5911575_OQMD-EnID-1440135.poscar,-1.1069,P-3m1
ID-5958965_OQMD-EnID-1592966.poscar,0.2804,Fd-3m
ID-4337145_OQMD-EnID-351053.poscar,-0.2408,Pm-3m
ID-4812771_OQMD-EnID-426669.poscar,0.0218,R-3c
ID-4121268_OQMD-EnID-302893.poscar,-0.146,I4/mmm
ID-4141308_OQMD-EnID-313435.poscar,-0.0453,Fm-3m
ID-4149924_OQMD-EnID-320274.poscar,-0.738,P63/mmc
ID-4166991_OQMD-EnID-344760.poscar,-0.2089,Pm-3m
ID-4883190_OQMD-EnID-356382.poscar,-0.4215,P4/mmm
ID-4853955_OQMD-EnID-1632.poscar,-0.4469,P-6m2